Time (milliseconds)	ax	ay	az	mx	my	mz	ts	alti
365292	96	0	-1008	17850	12150	80400	365269	395.0173
365338	64	-32	-992	18000	13200	80100	365317	395.5087
365394	64	-32	-992	17550	12900	79950	365371	394.9248
365460	16	144	-320	18450	12600	81150	365439	394.9248
365494	80	-48	144	18000	13500	80250	365470	395.0807
365542	48	32	-800	17550	13050	80250	365521	395.6356
365591	48	240	-608	18300	12600	80550	365569	395.8153
365638	96	64	-1040	18000	12750	80250	365617	395.3529
365824	64	-16	-1056	17550	12150	80100	365803	395.0173
365856	48	-112	-1008	18150	13800	80400	365834	395.5087
365890	112	-64	-1024	18000	12000	80400	365866	395.9976
365921	48	16	-992	18600	12750	80400	365899	395.9342
365952	80	-48	-992	17700	12450	81000	365930	396.2433
366022	16	-128	-512	18600	12750	80250	365998	395.8443
366052	48	32	-1456	18600	13200	80100	366031	396.1773
366084	176	-240	-496	18150	12900	81150	366062	395.5352
366116	80	0	-848	17550	12900	80850	366094	395.3819
366148	112	224	-960	18000	12900	80250	366127	395.5352
366216	112	-192	-912	18150	12900	80550	366195	395.1362
366249	112	-32	-1584	18150	11850	80400	366227	395.3819
366293	80	0	-944	18300	12150	80700	366271	395.8708
366343	64	-112	-976	18000	12300	80400	366319	395.3819
366391	16	32	-1008	18600	12600	79800	366367	395.3819
366460	32	-16	-1008	18000	12300	80550	366439	395.3819
366491	32	0	-992	17850	12300	80100	366470	396.209
366538	208	-112	-1072	18750	13050	80250	366517	395.1362
366593	16	48	-1040	18600	12750	80550	366571	395.3819
366662	128	16	-2064	18150	12600	79950	366638	394.4281
366692	48	0	-1632	17700	12750	79950	366670	394.7372
366744	144	-256	-896	19350	12900	80700	366721	395.0728
366790	32	0	-912	18750	12150	80250	366769	395.226
366839	160	-80	-1056	18300	12000	80100	366817	395.7175
366904	32	-32	-992	18000	12450	80100	366883	395.7175
366942	48	-96	-976	18600	12450	79950	366919	396.209
366989	80	-64	-1040	18300	12150	80100	366967	395.0437
367043	48	-64	-1024	18150	12450	80700	367021	395.0437
367091	80	-16	-1024	18750	12750	80550	367069	396.024
367157	16	-32	-1344	18600	13500	80250	367135	395.7809
367193	112	-80	-160	17850	13050	80550	367171	396.024
367242	-16	-368	-48	17850	12600	80100	367219	396.3622
367289	80	-128	-1184	19200	12000	80550	367267	395.5352
367344	112	64	-2160	17700	12450	80250	367321	395.0437
367412	112	-16	-992	19350	12450	80100	367391	395.8708
367444	144	-64	-1264	18750	12300	79950	367422	395.3529
367493	96	-48	-1024	18600	12900	80250	367471	396.0874
367541	96	0	-1008	18750	12900	79650	367519	395.7809
367590	32	-80	-992	18450	12750	80250	367567	396.3331
367657	48	-16	-1008	17850	12450	80400	367635	396.0874
367694	64	-112	-1008	18750	12000	80250	367669	394.7082
367738	48	-16	-960	18300	13650	80250	367717	395.4427
367794	80	0	-768	17700	12450	79800	367771	395.8443
367860	64	128	-1856	18900	12150	80850	367839	395.9342
367892	208	32	-896	18900	13200	80700	367870	396.423
367942	144	64	-1632	18000	12300	80250	367921	395.5352
