millis	ax	ay	az	mx	my	mz
17936	868	-324	-448	-68700	9600	-33600
17985	864	-336	-460	-68850	9150	-34350
18039	860	-336	-460	-69000	9450	-33600
18086	876	-328	-460	-68550	9150	-34050
18134	868	-336	-460	-68550	8700	-34350
18188	872	-328	-452	-67950	9000	-33300
18246	868	-340	-464	-67950	9600	-32850
18284	872	-332	-464	-69600	9300	-33600
18338	872	-324	-456	-67950	8400	-33300
18386	868	-332	-460	-69300	9300	-33600
18434	868	-324	-460	-68550	9450	-34050
18488	868	-332	-460	-68850	8700	-34350
18545	860	-324	-456	-69150	9600	-33600
18584	868	-328	-456	-67950	8850	-33600
18638	864	-328	-464	-69150	9300	-34500
18686	860	-328	-444	-69150	9450	-32400
18734	860	-320	-452	-69150	9300	-33900
18788	868	-332	-456	-68700	9450	-33300
18836	872	-332	-464	-68850	9450	-33450
18894	876	-328	-464	-68550	9750	-33300
18938	860	-332	-456	-68700	8550	-33600
18986	864	-328	-464	-68700	9600	-33450
19034	872	-328	-464	-68850	9450	-33300
19088	868	-332	-460	-68550	9300	-34200
19136	868	-332	-448	-68550	10050	-33750
19221	864	-324	-468	-68400	8550	-32850
19238	872	-332	-440	-68700	9150	-33450
19286	864	-328	-468	-68850	9600	-33450
19335	872	-328	-460	-68700	8550	-33600
19388	872	-336	-444	-68250	8850	-33150
19436	864	-328	-420	-68250	9750	-33450
19484	860	-332	-448	-68850	9150	-33900
19541	868	-332	-448	-68550	9150	-33150
19588	868	-328	-444	-69450	9600	-33900
19634	868	-340	-472	-69150	8400	-34200
19688	856	-332	-464	-69150	9750	-33300
19736	876	-332	-464	-68100	9300	-33300
19784	864	-328	-460	-69900	9450	-33150
19841	868	-324	-440	-69000	9600	-33900
19886	864	-328	-464	-69600	8550	-32850
19934	868	-328	-456	-69150	9600	-33450
19988	868	-328	-456	-67950	9300	-32400
20037	864	-332	-468	-69150	9300	-33300
20084	864	-332	-460	-69000	9750	-33000
20138	876	-324	-456	-68850	8550	-34050
20194	856	-328	-464	-68550	9300	-33150
20234	864	-328	-464	-68550	9300	-33750
20288	872	-328	-460	-69000	8850	-33300
20336	864	-336	-460	-68550	10200	-34350
20384	868	-320	-456	-69000	9600	-34350
20438	868	-332	-456	-68400	9300	-33750
20521	868	-328	-460	-68250	8850	-34050
20537	860	-328	-464	-68700	9600	-33900
20589	868	-324	-452	-68550	9300	-33000
20636	872	-332	-452	-68850	9600	-33300
20684	868	-328	-452	-68100	9450	-33750
20738	872	-328	-460	-69000	8250	-33450
20787	868	-328	-452	-68700	9600	-34050
20846	856	-328	-460	-68850	8700	-33300
20888	864	-328	-448	-68400	9300	-32700
20936	864	-332	-460	-69450	9300	-33300
20984	864	-336	-460	-68250	9750	-32550
21038	864	-324	-448	-67800	8550	-33600
21086	872	-332	-464	-69450	9300	-32700
21134	872	-336	-460	-67950	9000	-33150
21189	864	-332	-464	-68250	9600	-32700
21236	868	-324	-460	-68550	9600	-33300
21285	880	-340	-428	-68850	9750	-32550
21338	840	-288	-492	-68700	9150	-33300
21386	852	-324	-460	-68850	9600	-33300
21434	856	-332	-456	-68850	9300	-33600
21489	856	-332	-476	-68550	10050	-33000
21536	864	-332	-460	-68250	9750	-33450
21585	872	-324	-464	-69000	9150	-33300
21639	864	-328	-496	-68550	9150	-33750
21686	864	-328	-460	-68400	8850	-33150
21734	872	-332	-464	-68550	10200	-33900
21788	864	-316	-468	-69300	9900	-34050
21874	828	-320	-420	-69000	9150	-33450
21884	880	-348	-484	-69450	7650	-33450
21938	824	-268	-460	-69150	7800	-33300
21986	864	-300	-348	-68700	8100	-34350
22034	792	484	-124	-72900	8400	-42150
22088	804	-312	156	-70050	-1050	-43050
22146	1384	324	-436	-62700	-4650	-31200
22184	792	-468	-1256	-56100	-2250	-23700
22238	612	-272	-704	-56400	150	-22800
22286	828	-20	-940	-58650	-600	-24300
22334	784	-156	-584	-59850	-2550	-25500
22388	980	-24	-664	-59850	-4500	-27900
22436	984	-132	-776	-59100	-1950	-25800
22494	840	-304	-868	-56850	2850	-21600
22539	780	-164	-580	-55500	4350	-20250
22586	828	-304	-760	-54750	5100	-19350
22634	468	-240	-680	-53700	7650	-18450
22688	716	112	-344	-60900	6600	-23850
22736	1204	204	64	-65700	-1500	-31800
22793	252	-584	568	-67650	-5700	-37500
22838	816	20	-472	-68250	-6000	-42000
22886	1100	188	92	-64350	-8850	-35550
22934	1200	172	-244	-58650	-11850	-30600
22989	1056	444	-484	-54150	-14250	-28500
23037	592	504	-528	-56850	-11550	-29850
23084	836	84	-224	-55500	-11100	-25650
23189	1376	524	-604	-49650	0	-17550
23204	1376	524	-604	-54900	4500	-19200
23234	568	352	-692	-57300	7050	-21300
23288	720	396	-480	-55650	14400	-19950
23336	1572	-180	-628	-56550	12600	-19200
23384	1248	44	-876	-60000	14400	-22950
23442	528	684	-780	-57300	17100	-20550
23486	1180	100	-604	-56250	17850	-18900
